name,price,url,article_id,price_original,price_discounted,pct_discount
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/60621?article=60621-B,60621-B,5.99,2.99,50.08
Tall Stoneware Vase,$14.99 $34.99,http://www.hm.com/us/product/69643?article=69643-A,69643-A,34.99,14.99,57.16
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-B,72455-B,17.99,6.99,61.15
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72460?article=72460-B,72460-B,17.99,6.99,61.15
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72462?article=72462-B,72462-B,17.99,6.99,61.15
Wool-blend Rug,$99 $199,http://www.hm.com/us/product/71871?article=71871-A,71871-A,199.0,199.0,0.0
Washed Linen Duvet Cover Set,$54.99 $99,http://www.hm.com/us/product/73734?article=73734-A,73734-A,99.0,54.99,44.45
Cotton Velvet Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/74267?article=74267-A,74267-A,17.99,6.99,61.15
Color-block Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/73344?article=73344-A,73344-A,12.99,4.99,61.59
Scented Candle in Holder,$7.99 $17.99,http://www.hm.com/us/product/73325?article=73325-C,73325-C,17.99,7.99,55.59
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/74264?article=74264-A,74264-A,9.99,3.99,60.06
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-A,72455-A,17.99,6.99,61.15
Texture-patterned Plate,$4.99 $12.99,http://www.hm.com/us/product/70799?article=70799-B,70799-B,12.99,4.99,61.59
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-D,68473-D,5.99,2.99,50.08
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-C,72111-C,9.99,4.99,50.05
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-B,58926-B,12.99,6.99,46.19
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/58211?article=58211-A,58211-A,5.99,2.99,50.08
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/75469?article=75469-A,75469-A,79.99,34.99,56.26
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76982?article=76982-A,76982-A,17.99,7.99,55.59
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/74825?article=74825-A,74825-A,79.99,34.99,56.26
Patterned Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/74263?article=74263-A,74263-A,5.99,2.99,50.08
Sequined Table Runner,$14.99 $24.99,http://www.hm.com/us/product/78047?article=78047-A,78047-A,24.99,14.99,40.02
Jacquard-weave Cushion Cover,$5.99 $12.99,http://www.hm.com/us/product/60637?article=60637-G,60637-G,12.99,5.99,53.89
Cushion Cover with Tassels,$12.99 $17.99,http://www.hm.com/us/product/78381?article=78381-A,78381-A,17.99,12.99,27.79
